sedalea,point_id,latitude,longitude,status,pano_id,pano_lat,pano_lon,date,error_message
3304030.0,0.0,42.82429089514538,-72.02629542855654,ZERO_RESULTS,,,,,
3304030.0,1.0,42.79757564538399,-72.01466065307977,OK,jFP-PsYrwK2DHNmyIBC7Lw,42.79775339883371,-72.0151512566249,2025-08,
3304030.0,2.0,42.81342082594032,-72.05328702962937,ZERO_RESULTS,,,,,
3304030.0,3.0,42.851990863540685,-72.0502823796063,ZERO_RESULTS,,,,,
3304030.0,4.0,42.85729664226242,-72.02214807799905,ZERO_RESULTS,,,,,
3304030.0,5.0,42.834540489767356,-72.0451298222159,ZERO_RESULTS,,,,,
3304030.0,6.0,42.812483850931564,-72.11914505559153,ZERO_RESULTS,,,,,
3304030.0,7.0,42.8602884343419,-72.11373657339065,ZERO_RESULTS,,,,,
3304030.0,8.0,42.77714835987855,-72.0321107127797,OK,CAoSFkNJSE0wb2dLRUlDQWdJRGF4YzIyZlE.,42.77709737780739,-72.03254004283778,2020-10,
3304030.0,9.0,42.83355294192679,-72.08759820124912,ZERO_RESULTS,,,,,
3304030.0,10.0,42.80126995982323,-72.04627907550451,ZERO_RESULTS,,,,,
3304030.0,11.0,42.808877968353755,-72.0126480485334,ZERO_RESULTS,,,,,
3304030.0,12.0,42.78065745446469,-72.06712088567015,ZERO_RESULTS,,,,,
3304030.0,13.0,42.7215493288326,-71.99420155391752,ZERO_RESULTS,,,,,
3304030.0,14.0,42.81730228005552,-72.0008577569137,ZERO_RESULTS,,,,,
3304030.0,15.0,42.769155853794686,-72.07662703726804,OK,Gv1latibJv7ypKmYVaxs7w,42.76911421352978,-72.0766095724875,2025-08,
3304030.0,16.0,42.78090366501078,-72.02168393468845,OK,i9bXK68cAg9onYlJT5zPOQ,42.78094289380228,-72.02190679471909,2025-08,
3304030.0,17.0,42.751834840524005,-72.00380331163846,ZERO_RESULTS,,,,,
3304030.0,18.0,42.75044406491492,-72.04408788503657,ZERO_RESULTS,,,,,
3304030.0,19.0,42.73377820684625,-72.00310861706551,OK,2nk3DoOp32-MYZ0p4tV2aA,42.73367802835957,-72.00624998426238,2025-08,
3304030.0,20.0,42.72733388872856,-71.96759742104423,ZERO_RESULTS,,,,,
3304030.0,21.0,42.7271765728527,-71.96394163919372,ZERO_RESULTS,,,,,
3304030.0,22.0,42.71824923221977,-71.98522315573054,OK,sSB19eU7Mpfa3CdOp9PMJQ,42.71821189312397,-71.98506843525092,2025-08,
3304030.0,23.0,42.77708577889754,-72.07607606551507,ZERO_RESULTS,,,,,
3304030.0,24.0,42.8207273314771,-72.13081801508491,ZERO_RESULTS,,,,,
3304030.0,25.0,42.75373258788571,-72.02245929698726,OK,_UJ3sZZYIllS0NEQRwe-jw,42.75373586796204,-72.02293296198673,2025-08,
3304030.0,26.0,42.72683807216063,-72.03180884803743,ZERO_RESULTS,,,,,
3304030.0,27.0,42.85787697732899,-72.02044395471485,ZERO_RESULTS,,,,,
3304030.0,28.0,42.81679599666339,-72.0759497382833,ZERO_RESULTS,,,,,
3304030.0,29.0,42.82446938320127,-72.11622860479173,ZERO_RESULTS,,,,,
3304030.0,30.0,42.71525619034025,-72.0181652069918,ZERO_RESULTS,,,,,
3304030.0,31.0,42.754457070722765,-71.99847476349106,ZERO_RESULTS,,,,,
3304030.0,32.0,42.80248149642079,-72.09100614582162,ZERO_RESULTS,,,,,
3304030.0,33.0,42.80186886745379,-72.01697282914385,OK,45FE5HGB-V5scGzTw6U3XQ,42.80170364929453,-72.01688731403473,2025-08,
3304030.0,34.0,42.86155592644062,-72.09654243818635,ZERO_RESULTS,,,,,
3304030.0,35.0,42.84487474281586,-72.0482253879727,ZERO_RESULTS,,,,,
3304030.0,36.0,42.75875974473284,-71.9938029989643,ZERO_RESULTS,,,,,
